i;n_obj;max_weight;max_value;parallelizable_time;total_time
1;6400;12000;730970;0,577786;0,579152
2;6400;12000;730970;0,591646;0,593196
3;6400;12000;730970;0,595077;0,597012
4;6400;12000;730970;0,581688;0,583346
5;6400;12000;730970;0,587806;0,589644
6;6400;12000;730970;0,591634;0,593087
7;6400;12000;730970;0,574862;0,577169
8;6400;12000;730970;0,577911;0,579451
9;6400;12000;730970;0,566387;0,568853
10;6400;12000;730970;0,568175;0,570021
11;6400;12000;730970;0,577121;0,578519
12;6400;12000;730970;0,567112;0,568584
13;6400;12000;730970;0,582878;0,584582
14;6400;12000;730970;0,564652;0,566771
15;6400;12000;730970;0,572063;0,573587
16;6400;12000;730970;0,586287;0,587849
17;6400;12000;730970;0,566273;0,568113
18;6400;12000;730970;0,582965;0,584743
19;6400;12000;730970;0,58582;0,588845
20;6400;12000;730970;0,578978;0,58026
