i;n_obj;max_weight;max_value;parallelizable_time;total_time
1;400;12000;198350;0,038058;0,0382869
2;400;12000;198350;0,038137;0,0383899
3;400;12000;198350;0,03791;0,038131
4;400;12000;198350;0,0378418;0,0380552
5;400;12000;198350;0,0475991;0,0478199
6;400;12000;198350;0,0409081;0,041152
7;400;12000;198350;0,039115;0,039335
8;400;12000;198350;0,038404;0,038625
9;400;12000;198350;0,0381589;0,038378
10;400;12000;198350;0,0383201;0,0385401
11;400;12000;198350;0,039222;0,0394409
12;400;12000;198350;0,038439;0,0386591
13;400;12000;198350;0,0390019;0,0393281
14;400;12000;198350;0,039562;0,0397902
15;400;12000;198350;0,0384889;0,0389011
16;400;12000;198350;0,0380511;0,0382681
17;400;12000;198350;0,0381632;0,0384791
18;400;12000;198350;0,038368;0,03859
19;400;12000;198350;0,037519;0,0377359
20;400;12000;198350;0,037384;0,037596
