i;n_obj;max_weight;max_value;parallelizable_time;total_time
1;800;12000;262770;0,074621;0,0749099
2;800;12000;262770;0,074187;0,0744691
3;800;12000;262770;0,0808089;0,0812342
4;800;12000;262770;0,075588;0,0759041
5;800;12000;262770;0,074337;0,0746319
6;800;12000;262770;0,07322;0,0737538
7;800;12000;262770;0,074029;0,0743861
8;800;12000;262770;0,074544;0,0749638
9;800;12000;262770;0,0747831;0,0750651
10;800;12000;262770;0,072681;0,0730269
11;800;12000;262770;0,0725429;0,072911
12;800;12000;262770;0,0747421;0,0751231
13;800;12000;262770;0,0753288;0,0756359
14;800;12000;262770;0,072921;0,0733099
15;800;12000;262770;0,0773799;0,0777071
16;800;12000;262770;0,0739088;0,0741911
17;800;12000;262770;0,073873;0,0741529
18;800;12000;262770;0,0741999;0,0745749
19;800;12000;262770;0,073889;0,0742559
20;800;12000;262770;0,0750391;0,075356
