i;n_obj;max_weight;max_value;parallelizable_time;total_time
1;100;12000;95600;0,00958896;0,0097599
2;100;12000;95600;0,00949001;0,00965095
3;100;12000;95600;0,00985098;0,0100169
4;100;12000;95600;0,00935197;0,00951409
5;100;12000;95600;0,00955486;0,00975204
6;100;12000;95600;0,00958204;0,00981998
7;100;12000;95600;0,00963879;0,00979805
8;100;12000;95600;0,00983;0,0100331
9;100;12000;95600;0,00947094;0,00964379
10;100;12000;95600;0,00941801;0,00962806
11;100;12000;95600;0,00946307;0,00966907
12;100;12000;95600;0,00962019;0,00977707
13;100;12000;95600;0,010057;0,010308
14;100;12000;95600;0,00965595;0,00986195
15;100;12000;95600;0,0100188;0,0102131
16;100;12000;95600;0,009547;0,00971103
17;100;12000;95600;0,00959992;0,00976801
18;100;12000;95600;0,00954008;0,00972605
19;100;12000;95600;0,00970101;0,00987291
20;100;12000;95600;0,00973606;0,00990915
