i;n_obj;max_weight;max_value;parallelizable_time;total_time
1;12000;12000;1015340;1,08596;1,08842
2;12000;12000;1015340;1,06183;1,06452
3;12000;12000;1015340;1,09036;1,093
4;12000;12000;1015340;1,08896;1,09141
5;12000;12000;1015340;1,06753;1,07004
6;12000;12000;1015340;1,07174;1,07434
7;12000;12000;1015340;1,06996;1,07258
8;12000;12000;1015340;1,06808;1,07057
9;12000;12000;1015340;1,0747;1,07718
10;12000;12000;1015340;1,06243;1,06495
11;12000;12000;1015340;1,06608;1,0688
12;12000;12000;1015340;1,07282;1,07557
13;12000;12000;1015340;1,06952;1,07235
14;12000;12000;1015340;1,06667;1,06953
15;12000;12000;1015340;1,06084;1,06358
16;12000;12000;1015340;1,06709;1,06976
17;12000;12000;1015340;1,06623;1,07015
18;12000;12000;1015340;1,07219;1,07488
19;12000;12000;1015340;1,06564;1,06844
20;12000;12000;1015340;1,07119;1,07367
