i;n_obj;max_weight;max_value;parallelizable_time;total_time
1;200;12000;137695;0,0189009;0,0190818
2;200;12000;137695;0,018748;0,018986
3;200;12000;137695;0,0191898;0,0193689
4;200;12000;137695;0,018517;0,0187449
5;200;12000;137695;0,0184751;0,0186749
6;200;12000;137695;0,019619;0,0198331
7;200;12000;137695;0,0187249;0,0189042
8;200;12000;137695;0,018954;0,0191791
9;200;12000;137695;0,0203409;0,0205269
10;200;12000;137695;0,0201569;0,0204091
11;200;12000;137695;0,0189331;0,0191159
12;200;12000;137695;0,019201;0,019417
13;200;12000;137695;0,018995;0,0191829
14;200;12000;137695;0,0193379;0,0196979
15;200;12000;137695;0,019048;0,0192618
16;200;12000;137695;0,019073;0,0192571
17;200;12000;137695;0,0195429;0,0197401
18;200;12000;137695;0,0189078;0,0190921
19;200;12000;137695;0,0192699;0,0194521
20;200;12000;137695;0,018935;0,019119
