i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;12;400;80;955;0,0199499;0,000325918;0,019624
2;12;400;80;955;0,0116985;0,000317097;0,0113814
3;12;400;80;955;0,0204966;0,000305414;0,0201912
4;12;400;80;955;0,00699234;0,000342369;0,00664997
5;12;400;80;955;0,00651765;0,000318527;0,00619912
6;12;400;80;955;0,0069263;0,000355244;0,00657105
7;12;400;80;955;0,00708342;0,000312328;0,00677109
8;12;400;80;955;0,00675941;0,000317097;0,00644231
9;12;400;80;955;0,00702024;0,000321627;0,00669861
10;12;400;80;955;0,00789714;0,000326872;0,00757027
11;12;400;80;955;0,00756931;0,000320196;0,00724912
12;12;400;80;955;0,00749707;0,000310898;0,00718617
13;12;400;80;955;0,00652456;0,000337601;0,00618696
14;12;400;80;955;0,00794482;0,000313044;0,00763178
15;12;400;80;955;0,00732231;0,00032711;0,0069952
16;12;400;80;955;0,00704956;0,000326872;0,00672269
17;12;400;80;955;0,00688577;0,000315905;0,00656986
18;12;400;80;955;0,0101218;0,0003407;0,00978112
19;12;400;80;955;0,00724053;0,000307083;0,00693345
20;12;400;80;955;0,00706005;0,000331402;0,00672865
