i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;8;800;80;1080;0,0124257;0,000665426;0,0117602
2;8;800;80;1080;0,0118291;0,000626802;0,0112023
3;8;800;80;1080;0,0126853;0,000666142;0,0120192
4;8;800;80;1080;0,0111308;0,00064373;0,0104871
5;8;800;80;1080;0,0112755;0,000641823;0,0106337
6;8;800;80;1080;0,0123386;0,000606537;0,0117321
7;8;800;80;1080;0,01157;0,000663042;0,0109069
8;8;800;80;1080;0,0113866;0,000582457;0,0108042
9;8;800;80;1080;0,0111625;0,000648022;0,0105145
10;8;800;80;1080;0,0111804;0,000631094;0,0105493
11;8;800;80;1080;0,0108993;0,00062418;0,0102751
12;8;800;80;1080;0,0112982;0,000584364;0,0107138
13;8;800;80;1080;0,0109165;0,000588179;0,0103283
14;8;800;80;1080;0,0110478;0,000634432;0,0104134
15;8;800;80;1080;0,0117817;0,000652075;0,0111296
16;8;800;80;1080;0,010402;0,000580788;0,00982118
17;8;800;80;1080;0,0119102;0,000636816;0,0112734
18;8;800;80;1080;0,0106909;0,000587702;0,0101032
19;8;800;80;1080;0,0111406;0,000631332;0,0105093
20;8;800;80;1080;0,0106037;0,000636578;0,00996709
