i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;2;100;80;590;0,000529051;7,1764e-05;0,000457287
2;2;100;80;590;0,000505209;7,20024e-05;0,000433207
3;2;100;80;590;0,000508785;7,08103e-05;0,000437975
4;2;100;80;590;0,000500679;6,69956e-05;0,000433683
5;2;100;80;590;0,000507832;7,1764e-05;0,000436068
6;2;100;80;590;0,000586033;7,55787e-05;0,000510454
7;2;100;80;590;0,000516176;7,4625e-05;0,000441551
8;2;100;80;590;0,000630856;9,27448e-05;0,000538111
9;2;100;80;590;0,000517368;6,98566e-05;0,000447512
10;2;100;80;590;0,000509024;6,98566e-05;0,000439167
11;2;100;80;590;0,000505447;6,93798e-05;0,000436068
12;2;100;80;590;0,000485659;6,4373e-05;0,000421286
13;2;100;80;590;0,000516415;6,84261e-05;0,000447989
14;2;100;80;590;0,000627518;8,44002e-05;0,000543118
15;2;100;80;590;0,000522375;7,41482e-05;0,000448227
16;2;100;80;590;0,000628233;8,58307e-05;0,000542402
17;2;100;80;590;0,000513077;7,08103e-05;0,000442266
18;2;100;80;590;0,000523567;7,65324e-05;0,000447035
19;2;100;80;590;0,000517368;7,24792e-05;0,000444889
20;2;100;80;590;0,000925064;0,000105143;0,000819921
