i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;4;1600;40;320;0,0162709;0,0014441;0,0148268
2;4;1600;40;320;0,0158408;0,0013032;0,0145376
3;4;1600;40;320;0,0118263;0,00116253;0,0106637
4;4;1600;40;320;0,0115452;0,00110888;0,0104363
5;4;1600;40;320;0,0113394;0,00107384;0,0102656
6;4;1600;40;320;0,0123496;0,00119042;0,0111592
7;4;1600;40;320;0,0149655;0,00124884;0,0137167
8;4;1600;40;320;0,0142031;0,00126123;0,0129418
9;4;1600;40;320;0,0121624;0,00114131;0,0110211
10;4;1600;40;320;0,0120077;0,00116086;0,0108469
11;4;1600;40;320;0,0176251;0,00109076;0,0165343
12;4;1600;40;320;0,012625;0,00115037;0,0114746
13;4;1600;40;320;0,0119824;0,00107622;0,0109062
14;4;1600;40;320;0,014117;0,00121617;0,0129008
15;4;1600;40;320;0,0120232;0,00110102;0,0109222
16;4;1600;40;320;0,0121093;0,0011754;0,0109339
17;4;1600;40;320;0,0117345;0,00114679;0,0105877
18;4;1600;40;320;0,0126717;0,00121641;0,0114553
19;4;1600;40;320;0,0117781;0,00114918;0,0106289
20;4;1600;40;320;0,0122049;0,00110936;0,0110955
