i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;2;800;640;14400;0,00410032;0,000676394;0,00342393
2;2;800;640;14400;0,00422359;0,00070405;0,00351954
3;2;800;640;14400;0,0040431;0,000652313;0,00339079
4;2;800;640;14400;0,00399613;0,000647306;0,00334883
5;2;800;640;14400;0,00401044;0,000651598;0,00335884
6;2;800;640;14400;0,00403786;0,000671625;0,00336623
7;2;800;640;14400;0,00406766;0,00065136;0,0034163
8;2;800;640;14400;0,00402069;0,000654221;0,00336647
9;2;800;640;14400;0,00411606;0,000685692;0,00343037
10;2;800;640;14400;0,00408101;0,000677109;0,0034039
11;2;800;640;14400;0,00392652;0,000633955;0,00329256
12;2;800;640;14400;0,00396919;0,000655651;0,00331354
13;2;800;640;14400;0,00403666;0,000648975;0,00338769
14;2;800;640;14400;0,0039711;0,000681877;0,00328922
15;2;800;640;14400;0,0040009;0,000679255;0,00332165
16;2;800;640;14400;0,00408411;0,000667572;0,00341654
17;2;800;640;14400;0,00404286;0,000675201;0,00336766
18;2;800;640;14400;0,00402832;0,000652313;0,00337601
19;2;800;640;14400;0,00406933;0,000628948;0,00344038
20;2;800;640;14400;0,00438285;0,000681639;0,00370121
