i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;2;1600;40;320;0,0078795;0,00114202;0,00673747
2;2;1600;40;320;0,00807619;0,00107694;0,00699925
3;2;1600;40;320;0,00777769;0,0010879;0,00668979
4;2;1600;40;320;0,00753474;0,00103307;0,00650167
5;2;1600;40;320;0,00768375;0,00105405;0,00662971
6;2;1600;40;320;0,00755572;0,00105119;0,00650454
7;2;1600;40;320;0,00770545;0,0010438;0,00666165
8;2;1600;40;320;0,00758624;0,00104117;0,00654507
9;2;1600;40;320;0,00764704;0,00108027;0,00656676
10;2;1600;40;320;0,00754666;0,0010674;0,00647926
11;2;1600;40;320;0,00764251;0,00110292;0,00653958
12;2;1600;40;320;0,00757599;0,00107718;0,00649881
13;2;1600;40;320;0,00773311;0,00105166;0,00668144
14;2;1600;40;320;0,00769687;0,0010674;0,00662947
15;2;1600;40;320;0,00761533;0,00111198;0,00650334
16;2;1600;40;320;0,00899005;0,00105071;0,00793934
17;2;1600;40;320;0,00760508;0,00107265;0,00653243
18;2;1600;40;320;0,00770879;0,00103688;0,00667191
19;2;1600;40;320;0,00761676;0,0010705;0,00654626
20;2;1600;40;320;0,00756979;0,00102997;0,00653982
