i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;4;200;640;7670;0,00215411;0,000230551;0,00192356
2;4;200;640;7670;0,00218391;0,000255823;0,00192809
3;4;200;640;7670;0,00229812;0,000250578;0,00204754
4;4;200;640;7670;0,0015316;0,000181198;0,0013504
5;4;200;640;7670;0,00163007;0,000177622;0,00145245
6;4;200;640;7670;0,00184846;0,000183582;0,00166488
7;4;200;640;7670;0,00163007;0,000178814;0,00145125
8;4;200;640;7670;0,00157762;0,000173092;0,00140452
9;4;200;640;7670;0,00166345;0,000170231;0,00149322
10;4;200;640;7670;0,00160313;0,000154972;0,00144815
11;4;200;640;7670;0,00173354;0,000200033;0,00153351
12;4;200;640;7670;0,0016644;0,000177383;0,00148702
13;4;200;640;7670;0,00155449;0,000161171;0,00139332
14;4;200;640;7670;0,00151968;0,000169754;0,00134993
15;4;200;640;7670;0,00158548;0,000174046;0,00141144
16;4;200;640;7670;0,00160265;0,000164986;0,00143766
17;4;200;640;7670;0,00171018;0,000180244;0,00152993
18;4;200;640;7670;0,00163555;0,000172377;0,00146317
19;4;200;640;7670;0,00166059;0,000168562;0,00149202
20;4;200;640;7670;0,00158405;0,000164986;0,00141907
