i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;2;400;160;2605;0,00222945;0,000388145;0,00184131
2;2;400;160;2605;0,00238681;0,000333309;0,0020535
3;2;400;160;2605;0,00209641;0,000317097;0,00177932
4;2;400;160;2605;0,00204825;0,000291348;0,00175691
5;2;400;160;2605;0,0020411;0,000280857;0,00176024
6;2;400;160;2605;0,00194097;0,000258684;0,00168228
7;2;400;160;2605;0,0021646;0,000316381;0,00184822
8;2;400;160;2605;0,00201488;0,000298977;0,0017159
9;2;400;160;2605;0,00234461;0,000335693;0,00200891
10;2;400;160;2605;0,00199485;0,000283957;0,00171089
11;2;400;160;2605;0,00200176;0,000279188;0,00172257
12;2;400;160;2605;0,00198436;0,000302076;0,00168228
13;2;400;160;2605;0,00226951;0,000332355;0,00193715
14;2;400;160;2605;0,00210786;0,000302315;0,00180554
15;2;400;160;2605;0,00197291;0,000302315;0,0016706
16;2;400;160;2605;0,00195813;0,000261545;0,00169659
17;2;400;160;2605;0,00197434;0,000272989;0,00170135
18;2;400;160;2605;0,00198579;0,000284672;0,00170112
19;2;400;160;2605;0,00197363;0,000294209;0,00167942
20;2;400;160;2605;0,00212002;0,00029254;0,00182748
