i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;4;200;320;4825;0,00175905;0,000157356;0,0016017
2;4;200;320;4825;0,00187683;0,000164747;0,00171208
3;4;200;320;4825;0,00176215;0,000182152;0,00158
4;4;200;320;4825;0,00176859;0,000157595;0,00161099
5;4;200;320;4825;0,0015347;0,000152111;0,00138259
6;4;200;320;4825;0,00154972;0,000157595;0,00139213
7;4;200;320;4825;0,00196958;0,000159979;0,0018096
8;4;200;320;4825;0,00154757;0,000160694;0,00138688
9;4;200;320;4825;0,00163698;0,000173807;0,00146317
10;4;200;320;4825;0,00162601;0,000166416;0,0014596
11;4;200;320;4825;0,00161862;0,00016284;0,00145578
12;4;200;320;4825;0,00159478;0,000147104;0,00144768
13;4;200;320;4825;0,00154757;0,00015521;0,00139236
14;4;200;320;4825;0,00155067;0,000165701;0,00138497
15;4;200;320;4825;0,0016346;0,000163317;0,00147128
16;4;200;320;4825;0,00157952;0,000161409;0,00141811
17;4;200;320;4825;0,00153995;0,000178576;0,00136137
18;4;200;320;4825;0,00178337;0,000163317;0,00162005
19;4;200;320;4825;0,00152969;0,000150204;0,00137949
20;4;200;320;4825;0,00170398;0,000169277;0,0015347
