i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;2;800;40;320;0,00424433;0,000545979;0,00369835
2;2;800;40;320;0,00404048;0,000570297;0,00347018
3;2;800;40;320;0,00390458;0,000555515;0,00334907
4;2;800;40;320;0,00399899;0,000539064;0,00345993
5;2;800;40;320;0,00385594;0,000549793;0,00330615
6;2;800;40;320;0,00388718;0,000544786;0,00334239
7;2;800;40;320;0,00389051;0,000537872;0,00335264
8;2;800;40;320;0,00388861;0,000540018;0,00334859
9;2;800;40;320;0,00386071;0,000538588;0,00332212
10;2;800;40;320;0,0039165;0,000540733;0,00337577
11;2;800;40;320;0,00388217;0,000540733;0,00334144
12;2;800;40;320;0,00389528;0,000537395;0,00335789
13;2;800;40;320;0,00383377;0,000532389;0,00330138
14;2;800;40;320;0,00389886;0,000555038;0,00334382
15;2;800;40;320;0,00389814;0,000555992;0,00334215
16;2;800;40;320;0,00385976;0,000584841;0,00327492
17;2;800;40;320;0,00388455;0,000534534;0,00335002
18;2;800;40;320;0,00391054;0,000538111;0,00337243
19;2;800;40;320;0,00386739;0,000546694;0,00332069
20;2;800;40;320;0,00402021;0,000547171;0,00347304
