i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;4;400;320;5885;0,00349474;0,000351906;0,00314283
2;4;400;320;5885;0,00352311;0,000324726;0,00319839
3;4;400;320;5885;0,00377893;0,000338793;0,00344014
4;4;400;320;5885;0,00399923;0,000325441;0,00367379
5;4;400;320;5885;0,00348449;0,000359058;0,00312543
6;4;400;320;5885;0,00307846;0,000353575;0,00272489
7;4;400;320;5885;0,00319409;0,000284672;0,00290942
8;4;400;320;5885;0,0030756;0,000292301;0,0027833
9;4;400;320;5885;0,00332189;0,000283718;0,00303817
10;4;400;320;5885;0,00340748;0,000289202;0,00311828
11;4;400;320;5885;0,00310612;0,000297785;0,00280833
12;4;400;320;5885;0,00351763;0,000310183;0,00320745
13;4;400;320;5885;0,00328422;0,000360012;0,0029242
14;4;400;320;5885;0,0031898;0,000327826;0,00286198
15;4;400;320;5885;0,00307751;0,000306845;0,00277066
16;4;400;320;5885;0,00307393;0,000305176;0,00276875
17;4;400;320;5885;0,00299501;0,000326157;0,00266886
18;4;400;320;5885;0,00399733;0,0003016;0,00369573
19;4;400;320;5885;0,00311279;0,00032711;0,00278568
20;4;400;320;5885;0,00332713;0,000303984;0,00302315
