i;n_obj;max_weight;max_value;parallelizable_time;total_time
1;3200;12000;523365;0,296927;0,297908
2;3200;12000;523365;0,284896;0,28631
3;3200;12000;523365;0,286179;0,287207
4;3200;12000;523365;0,287931;0,288785
5;3200;12000;523365;0,28049;0,281508
6;3200;12000;523365;0,284169;0,285133
7;3200;12000;523365;0,285525;0,286498
8;3200;12000;523365;0,282026;0,282892
9;3200;12000;523365;0,290435;0,291661
10;3200;12000;523365;0,296274;0,297249
11;3200;12000;523365;0,299004;0,299894
12;3200;12000;523365;0,287439;0,288343
13;3200;12000;523365;0,288435;0,289437
14;3200;12000;523365;0,283008;0,283922
15;3200;12000;523365;0,284966;0,286017
16;3200;12000;523365;0,285309;0,286353
17;3200;12000;523365;0,283443;0,284248
18;3200;12000;523365;0,283811;0,284808
19;3200;12000;523365;0,278155;0,279109
20;3200;12000;523365;0,284325;0,28523
