i;n_obj;max_weight;max_value;parallelizable_time;total_time
1;12000;12000;1015340;1,12356;1,12741
2;12000;12000;1015340;1,10558;1,10825
3;12000;12000;1015340;1,09064;1,093
4;12000;12000;1015340;1,08366;1,08722
5;12000;12000;1015340;1,07746;1,08005
6;12000;12000;1015340;1,11173;1,11532
7;12000;12000;1015340;1,06137;1,06404
8;12000;12000;1015340;1,06659;1,06929
9;12000;12000;1015340;1,05517;1,0578
10;12000;12000;1015340;1,06289;1,06545
11;12000;12000;1015340;1,11648;1,11922
12;12000;12000;1015340;1,07132;1,07385
13;12000;12000;1015340;1,0636;1,06647
14;12000;12000;1015340;1,0534;1,05589
15;12000;12000;1015340;1,05786;1,06103
16;12000;12000;1015340;1,11554;1,11862
17;12000;12000;1015340;1,05997;1,06252
18;12000;12000;1015340;1,06938;1,07194
19;12000;12000;1015340;1,04732;1,04978
20;12000;12000;1015340;1,09592;1,09873
