i;n_obj;max_weight;max_value;parallelizable_time;total_time
1;100;12000;95600;0,00969791;0,00988388
2;100;12000;95600;0,00959587;0,009758
3;100;12000;95600;0,00959992;0,00983214
4;100;12000;95600;0,00936294;0,0095222
5;100;12000;95600;0,00962496;0,00978398
6;100;12000;95600;0,00960779;0,00976801
7;100;12000;95600;0,00948691;0,00967598
8;100;12000;95600;0,009547;0,00970697
9;100;12000;95600;0,00968814;0,00984693
10;100;12000;95600;0,00955987;0,00971985
11;100;12000;95600;0,00983715;0,0100262
12;100;12000;95600;0,00953293;0,00970101
13;100;12000;95600;0,00948811;0,00965405
14;100;12000;95600;0,0105519;0,0107868
15;100;12000;95600;0,011924;0,012157
16;100;12000;95600;0,0115728;0,0117562
17;100;12000;95600;0,0115209;0,0116861
18;100;12000;95600;0,011517;0,0116839
19;100;12000;95600;0,010283;0,0105228
20;100;12000;95600;0,0102401;0,010411
