i;n_obj;max_weight;max_value;parallelizable_time;total_time
1;800;12000;262770;0,073209;0,073503
2;800;12000;262770;0,0732901;0,0736198
3;800;12000;262770;0,0727041;0,0730209
4;800;12000;262770;0,0732741;0,073616
5;800;12000;262770;0,0721371;0,072417
6;800;12000;262770;0,0729461;0,0733061
7;800;12000;262770;0,074223;0,074544
8;800;12000;262770;0,072994;0,0733111
9;800;12000;262770;0,071995;0,0723319
10;800;12000;262770;0,072355;0,07268
11;800;12000;262770;0,0726149;0,0729361
12;800;12000;262770;0,0754991;0,0758231
13;800;12000;262770;0,0745189;0,0748692
14;800;12000;262770;0,0727611;0,07304
15;800;12000;262770;0,0719631;0,0722361
16;800;12000;262770;0,0724049;0,0727532
17;800;12000;262770;0,0722282;0,0726039
18;800;12000;262770;0,073462;0,073772
19;800;12000;262770;0,0725729;0,072989
20;800;12000;262770;0,0724208;0,0727751
