i;n_obj;max_weight;max_value;parallelizable_time;total_time
1;200;12000;137695;0,0188851;0,019078
2;200;12000;137695;0,0188179;0,0189991
3;200;12000;137695;0,0192239;0,0194781
4;200;12000;137695;0,018996;0,0192008
5;200;12000;137695;0,019417;0,019707
6;200;12000;137695;0,0185919;0,0188088
7;200;12000;137695;0,0185399;0,018718
8;200;12000;137695;0,0187819;0,0190001
9;200;12000;137695;0,0191422;0,0193191
10;200;12000;137695;0,0188091;0,019021
11;200;12000;137695;0,0201221;0,020309
12;200;12000;137695;0,0190132;0,0192111
13;200;12000;137695;0,018681;0,018867
14;200;12000;137695;0,0186;0,018816
15;200;12000;137695;0,0184371;0,0186851
16;200;12000;137695;0,0187111;0,0189521
17;200;12000;137695;0,018466;0,0186501
18;200;12000;137695;0,018307;0,018486
19;200;12000;137695;0,0185499;0,0187681
20;200;12000;137695;0,0180919;0,0182719
