i;n_obj;max_weight;max_value;parallelizable_time;total_time
1;1600;12000;393225;0,146854;0,147449
2;1600;12000;393225;0,142309;0,142925
3;1600;12000;393225;0,146339;0,146866
4;1600;12000;393225;0,145278;0,145778
5;1600;12000;393225;0,140872;0,141337
6;1600;12000;393225;0,1435;0,144098
7;1600;12000;393225;0,143842;0,144519
8;1600;12000;393225;0,141822;0,142407
9;1600;12000;393225;0,144162;0,144846
10;1600;12000;393225;0,144659;0,145083
11;1600;12000;393225;0,143246;0,143844
12;1600;12000;393225;0,143636;0,144304
13;1600;12000;393225;0,143051;0,143524
14;1600;12000;393225;0,145398;0,14593
15;1600;12000;393225;0,146752;0,147318
16;1600;12000;393225;0,145668;0,146272
17;1600;12000;393225;0,16524;0,165759
18;1600;12000;393225;0,15543;0,15589
19;1600;12000;393225;0,153203;0,153632
20;1600;12000;393225;0,145827;0,146306
