i;n_obj;max_weight;max_value;parallelizable_time;total_time
1;6400;12000;730970;0,575397;0,576735
2;6400;12000;730970;0,566373;0,568365
3;6400;12000;730970;0,554476;0,556076
4;6400;12000;730970;0,579465;0,581064
5;6400;12000;730970;0,566547;0,567875
6;6400;12000;730970;0,602697;0,604283
7;6400;12000;730970;0,565393;0,567155
8;6400;12000;730970;0,566383;0,568344
9;6400;12000;730970;0,568357;0,569926
10;6400;12000;730970;0,561164;0,562721
11;6400;12000;730970;0,580548;0,582059
12;6400;12000;730970;0,573041;0,574756
13;6400;12000;730970;0,58202;0,583558
14;6400;12000;730970;0,587311;0,588746
15;6400;12000;730970;0,565096;0,566609
16;6400;12000;730970;0,56508;0,566538
17;6400;12000;730970;0,568856;0,570369
18;6400;12000;730970;0,564386;0,56601
19;6400;12000;730970;0,564089;0,565802
20;6400;12000;730970;0,566073;0,567443
