i;n_obj;max_weight;max_value;parallelizable_time;total_time
1;400;12000;198350;0,039927;0,040653
2;400;12000;198350;0,0394399;0,0396879
3;400;12000;198350;0,0368669;0,0371199
4;400;12000;198350;0,0362322;0,0365171
5;400;12000;198350;0,036787;0,0370018
6;400;12000;198350;0,0362101;0,036516
7;400;12000;198350;0,037051;0,0373609
8;400;12000;198350;0,038408;0,038651
9;400;12000;198350;0,0380409;0,0382729
10;400;12000;198350;0,038187;0,038408
11;400;12000;198350;0,036767;0,036989
12;400;12000;198350;0,0370202;0,037277
13;400;12000;198350;0,0372591;0,0374761
14;400;12000;198350;0,0372429;0,0374629
15;400;12000;198350;0,036598;0,0368869
16;400;12000;198350;0,036541;0,036756
17;400;12000;198350;0,0364759;0,0367749
18;400;12000;198350;0,0375409;0,037761
19;400;12000;198350;0,0365851;0,0368791
20;400;12000;198350;0,0381069;0,0383251
