i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;2;400;320;5885;0,00227857;0,000296831;0,00198174
2;2;400;320;5885;0,00265622;0,000408173;0,00224805
3;2;400;320;5885;0,00233841;0,000323057;0,00201535
4;2;400;320;5885;0,00202584;0,000289917;0,00173593
5;2;400;320;5885;0,00203824;0,000294447;0,00174379
6;2;400;320;5885;0,00202489;0,000283957;0,00174093
7;2;400;320;5885;0,00195956;0,000298977;0,00166059
8;2;400;320;5885;0,00197554;0,000290155;0,00168538
9;2;400;320;5885;0,00204659;0,000293255;0,00175333
10;2;400;320;5885;0,00199318;0,00031662;0,00167656
11;2;400;320;5885;0,00197744;0,000283957;0,00169349
12;2;400;320;5885;0,00200319;0,000284195;0,001719
13;2;400;320;5885;0,00198078;0,000288725;0,00169206
14;2;400;320;5885;0,00201559;0,00031805;0,00169754
15;2;400;320;5885;0,00197721;0,000287771;0,00168943
16;2;400;320;5885;0,0020256;0,000315189;0,00171041
17;2;400;320;5885;0,00195312;0,00028348;0,00166965
18;2;400;320;5885;0,00194907;0,000273705;0,00167537
19;2;400;320;5885;0,00209141;0,000301361;0,00179005
20;2;400;320;5885;0,00216746;0,000330448;0,00183702
