i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;4;200;320;4825;0,0139878;0,000158787;0,013829
2;4;200;320;4825;0,0145402;0,00017643;0,0143638
3;4;200;320;4825;0,0137281;0,000174522;0,0135536
4;4;200;320;4825;0,014246;0,000162363;0,0140836
5;4;200;320;4825;0,0142171;0,00016427;0,0140529
6;4;200;320;4825;0,013293;0,000166178;0,0131269
7;4;200;320;4825;0,013622;0,000156164;0,0134659
8;4;200;320;4825;0,0129209;0,000156641;0,0127642
9;4;200;320;4825;0,01458;0,000176668;0,0144033
10;4;200;320;4825;0,0134737;0,000161886;0,0133119
11;4;200;320;4825;0,0130968;0,000156403;0,0129404
12;4;200;320;4825;0,0139518;0,000163794;0,013788
13;4;200;320;4825;0,0138731;0,00016427;0,0137088
14;4;200;320;4825;0,0127995;0,000154734;0,0126448
15;4;200;320;4825;0,0137246;0,000163555;0,013561
16;4;200;320;4825;0,0140598;0,000153065;0,0139067
17;4;200;320;4825;0,0138497;0,000165701;0,013684
18;4;200;320;4825;0,0138371;0,000159979;0,0136771
19;4;200;320;4825;0,0128922;0,000151634;0,0127406
20;4;200;320;4825;0,0132501;0,000151873;0,0130982
