i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;12;200;80;810;0,00482869;0,000159264;0,00466943
2;12;200;80;810;0,00553918;0,000161648;0,00537753
3;12;200;80;810;0,00329924;0,000164032;0,0031352
4;12;200;80;810;0,00422215;0,000158548;0,00406361
5;12;200;80;810;0,00378513;0,000154972;0,00363016
6;12;200;80;810;0,00442195;0,000153303;0,00426865
7;12;200;80;810;0,00368619;0,000149965;0,00353622
8;12;200;80;810;0,00343084;0,000156164;0,00327468
9;12;200;80;810;0,00397325;0,000153065;0,00382018
10;12;200;80;810;0,00435257;0,000157595;0,00419497
11;12;200;80;810;0,00421953;0,000157356;0,00406218
12;12;200;80;810;0,00343323;0,000156403;0,00327682
13;12;200;80;810;0,00435328;0,000156641;0,00419664
14;12;200;80;810;0,00351906;0,000158072;0,00336099
15;12;200;80;810;0,00340271;0,000154257;0,00324845
16;12;200;80;810;0,00470257;0,000154018;0,00454855
17;12;200;80;810;0,00356102;0,00015378;0,00340724
18;12;200;80;810;0,00415206;0,000146866;0,00400519
19;12;200;80;810;0,00423408;0,000166416;0,00406766
20;12;200;80;810;0,00397778;0,00016737;0,00381041
