i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;4;800;640;14400;0,00684118;0,000743389;0,00609779
2;4;800;640;14400;0,00741005;0,000767469;0,00664258
3;4;800;640;14400;0,00676632;0,000744343;0,00602198
4;4;800;640;14400;0,0061667;0,000695944;0,00547075
5;4;800;640;14400;0,00644922;0,000690937;0,00575829
6;4;800;640;14400;0,0063498;0,000747442;0,00560236
7;4;800;640;14400;0,0061686;0,000679016;0,00548959
8;4;800;640;14400;0,00613093;0,000659943;0,00547099
9;4;800;640;14400;0,00682497;0,000696421;0,00612855
10;4;800;640;14400;0,00687385;0,000678778;0,00619507
11;4;800;640;14400;0,00630355;0,000697613;0,00560594
12;4;800;640;14400;0,00635958;0,000683784;0,00567579
13;4;800;640;14400;0,0067265;0,00066185;0,00606465
14;4;800;640;14400;0,00624442;0,000717878;0,00552654
15;4;800;640;14400;0,00622892;0,000688076;0,00554085
16;4;800;640;14400;0,00612521;0,000679493;0,00544572
17;4;800;640;14400;0,00632524;0,000672102;0,00565314
18;4;800;640;14400;0,0061059;0,000731945;0,00537395
19;4;800;640;14400;0,00618029;0,000651836;0,00552845
20;4;800;640;14400;0,00650311;0,000648975;0,00585413
