i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;8;1600;40;320;0,291979;0,00176406;0,290215
2;8;1600;40;320;0,287452;0,0016799;0,285772
3;8;1600;40;320;0,271445;0,00173306;0,269712
4;8;1600;40;320;0,267384;0,00176001;0,265624
5;8;1600;40;320;0,277261;0,00180626;0,275455
6;8;1600;40;320;0,268572;0,00179863;0,266773
7;8;1600;40;320;0,270131;0,00169683;0,268435
8;8;1600;40;320;0,265553;0,00167489;0,263878
9;8;1600;40;320;0,26599;0,00167894;0,264311
10;8;1600;40;320;0,266238;0,00171971;0,264519
11;8;1600;40;320;0,273529;0,00173807;0,271791
12;8;1600;40;320;0,273224;0,00174451;0,271479
13;8;1600;40;320;0,275301;0,00168705;0,273614
14;8;1600;40;320;0,268503;0,00172424;0,266778
15;8;1600;40;320;0,267103;0,00172758;0,265375
16;8;1600;40;320;0,266752;0,00168514;0,265067
17;8;1600;40;320;0,266329;0,00167394;0,264655
18;8;1600;40;320;0,263344;0,00167727;0,261667
19;8;1600;40;320;0,277664;0,00177431;0,275889
20;8;1600;40;320;0,268216;0,00166512;0,266551
