i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;8;1600;640;17750;0,271082;0,00187397;0,269208
2;8;1600;640;17750;0,262971;0,00196815;0,261003
3;8;1600;640;17750;0,266933;0,00190234;0,265031
4;8;1600;640;17750;0,281542;0,00214005;0,279402
5;8;1600;640;17750;0,265529;0,00194001;0,263589
6;8;1600;640;17750;0,275132;0,00202799;0,273104
7;8;1600;640;17750;0,280258;0,00202966;0,278229
8;8;1600;640;17750;0,267548;0,00194764;0,2656
9;8;1600;640;17750;0,267286;0,00192308;0,265363
10;8;1600;640;17750;0,265741;0,0019753;0,263765
11;8;1600;640;17750;0,279012;0,00193715;0,277075
12;8;1600;640;17750;0,26439;0,00188231;0,262508
13;8;1600;640;17750;0,263808;0,00199556;0,261813
14;8;1600;640;17750;0,276747;0,00203252;0,274714
15;8;1600;640;17750;0,268473;0,00197053;0,266503
16;8;1600;640;17750;0,263286;0,00197029;0,261316
17;8;1600;640;17750;0,264906;0,00197864;0,262927
18;8;1600;640;17750;0,270614;0,00188684;0,268727
19;8;1600;640;17750;0,264087;0,00192738;0,26216
20;8;1600;640;17750;0,26431;0,00193334;0,262377
