i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;12;400;160;2605;0,137014;0,000465393;0,136549
2;12;400;160;2605;0,126442;0,000457287;0,125985
3;12;400;160;2605;0,128003;0,000479698;0,127523
4;12;400;160;2605;0,127961;0,000481606;0,127479
5;12;400;160;2605;0,129784;0,000488997;0,129295
6;12;400;160;2605;0,125899;0,000456572;0,125442
7;12;400;160;2605;0,127655;0,000489473;0,127165
8;12;400;160;2605;0,127369;0,00047636;0,126893
9;12;400;160;2605;0,127578;0,000459433;0,127119
10;12;400;160;2605;0,132864;0,000493765;0,132371
11;12;400;160;2605;0,125966;0,000463963;0,125502
12;12;400;160;2605;0,1282;0,000457048;0,127743
13;12;400;160;2605;0,127488;0,000457048;0,127031
14;12;400;160;2605;0,130497;0,000486135;0,130011
15;12;400;160;2605;0,126956;0,000465631;0,12649
16;12;400;160;2605;0,129325;0,000479698;0,128846
17;12;400;160;2605;0,126126;0,000460625;0,125665
18;12;400;160;2605;0,127793;0,000472307;0,12732
19;12;400;160;2605;0,125857;0,000473738;0,125383
20;12;400;160;2605;0,127425;0,000470638;0,126955
