i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;2;1600;640;17750;0,00823712;0,00128984;0,00694728
2;2;1600;640;17750;0,00801325;0,00134826;0,00666499
3;2;1600;640;17750;0,0079031;0,00120044;0,00670266
4;2;1600;640;17750;0,00797319;0,00137711;0,00659609
5;2;1600;640;17750;0,00817418;0,00125098;0,0069232
6;2;1600;640;17750;0,00765347;0,00117183;0,00648165
7;2;1600;640;17750;0,00776672;0,00124907;0,00651765
8;2;1600;640;17750;0,00863171;0,00124121;0,0073905
9;2;1600;640;17750;0,00811267;0,00123525;0,00687742
10;2;1600;640;17750;0,00783181;0,00123549;0,00659633
11;2;1600;640;17750;0,00792766;0,0012331;0,00669456
12;2;1600;640;17750;0,00783801;0,00120473;0,00663328
13;2;1600;640;17750;0,00826216;0,00137544;0,00688672
14;2;1600;640;17750;0,00781894;0,0011971;0,00662184
15;2;1600;640;17750;0,00781417;0,00125694;0,00655723
16;2;1600;640;17750;0,00804353;0,0012033;0,00684023
17;2;1600;640;17750;0,00792265;0,00128746;0,00663519
18;2;1600;640;17750;0,00790977;0,00129247;0,00661731
19;2;1600;640;17750;0,00789261;0,00120997;0,00668263
20;2;1600;640;17750;0,00777006;0,00117183;0,00659823
