i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;8;800;80;1080;0,136136;0,000881195;0,135254
2;8;800;80;1080;0,136699;0,000892401;0,135807
3;8;800;80;1080;0,140655;0,000950336;0,139705
4;8;800;80;1080;0,134226;0,000839949;0,133386
5;8;800;80;1080;0,136596;0,00087738;0,135719
6;8;800;80;1080;0,132319;0,000890017;0,131429
7;8;800;80;1080;0,137454;0,000880003;0,136574
8;8;800;80;1080;0,132141;0,000845671;0,131296
9;8;800;80;1080;0,143191;0,000998974;0,142192
10;8;800;80;1080;0,138296;0,000949383;0,137347
11;8;800;80;1080;0,153262;0,000928402;0,152334
12;8;800;80;1080;0,136587;0,000877142;0,13571
13;8;800;80;1080;0,136749;0,000892401;0,135857
14;8;800;80;1080;0,135624;0,00090003;0,134724
15;8;800;80;1080;0,139725;0,000952005;0,138773
16;8;800;80;1080;0,14043;0,000903845;0,139527
17;8;800;80;1080;0,139755;0,000918388;0,138836
18;8;800;80;1080;0,135395;0,00088191;0,134513
19;8;800;80;1080;0,138821;0,000918865;0,137902
20;8;800;80;1080;0,136582;0,000915527;0,135667
