i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;12;400;320;5885;0,13622;0,000482798;0,135737
2;12;400;320;5885;0,123283;0,00048399;0,122799
3;12;400;320;5885;0,123304;0,000491381;0,122813
4;12;400;320;5885;0,126011;0,000500679;0,12551
5;12;400;320;5885;0,126742;0,000485897;0,126256
6;12;400;320;5885;0,12633;0,000490665;0,125839
7;12;400;320;5885;0,122082;0,000498533;0,121583
8;12;400;320;5885;0,127233;0,000502586;0,126731
9;12;400;320;5885;0,124038;0,000486374;0,123552
10;12;400;320;5885;0,126823;0,00048852;0,126335
11;12;400;320;5885;0,129012;0,000501633;0,12851
12;12;400;320;5885;0,126599;0,000501394;0,126097
13;12;400;320;5885;0,125602;0,000492811;0,125109
14;12;400;320;5885;0,128937;0,000477076;0,12846
15;12;400;320;5885;0,130462;0,000497818;0,129964
16;12;400;320;5885;0,122487;0,000494242;0,121993
17;12;400;320;5885;0,127751;0,00049758;0,127253
18;12;400;320;5885;0,12575;0,000492096;0,125258
19;12;400;320;5885;0,121633;0,000486851;0,121146
20;12;400;320;5885;0,123764;0,000486612;0,123277
