i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;8;1600;160;3970;0,0225565;0,00127411;0,0212824
2;8;1600;160;3970;0,0217342;0,00126243;0,0204718
3;8;1600;160;3970;0,024251;0,00131798;0,022933
4;8;1600;160;3970;0,0186436;0,00119543;0,0174482
5;8;1600;160;3970;0,0191061;0,00113964;0,0179665
6;8;1600;160;3970;0,0221601;0,00121665;0,0209434
7;8;1600;160;3970;0,0207565;0,00125575;0,0195007
8;8;1600;160;3970;0,0218174;0,00124979;0,0205677
9;8;1600;160;3970;0,0216799;0,00125146;0,0204284
10;8;1600;160;3970;0,0190535;0,00116754;0,0178859
11;8;1600;160;3970;0,0223348;0,00127864;0,0210562
12;8;1600;160;3970;0,022558;0,00125408;0,0213039
13;8;1600;160;3970;0,0218244;0,00131249;0,0205119
14;8;1600;160;3970;0,0221379;0,0011816;0,0209563
15;8;1600;160;3970;0,0217004;0,0012989;0,0204015
16;8;1600;160;3970;0,0218177;0,00125504;0,0205626
17;8;1600;160;3970;0,017828;0,00114942;0,0166786
18;8;1600;160;3970;0,0222561;0,00130224;0,0209539
19;8;1600;160;3970;0,0216835;0,00130749;0,020376
20;8;1600;160;3970;0,0181637;0,00116062;0,0170031
