i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;12;1600;160;3970;0,496252;0,00190783;0,494344
2;12;1600;160;3970;0,477734;0,00253177;0,475202
3;12;1600;160;3970;0,479955;0,00186849;0,478086
4;12;1600;160;3970;0,47102;0,00187469;0,469145
5;12;1600;160;3970;0,479154;0,00185609;0,477298
6;12;1600;160;3970;0,483085;0,00190616;0,481179
7;12;1600;160;3970;0,482643;0,00187755;0,480765
8;12;1600;160;3970;0,479835;0,00187063;0,477965
9;12;1600;160;3970;0,467875;0,0018785;0,465997
10;12;1600;160;3970;0,48021;0,00187445;0,478335
11;12;1600;160;3970;0,472284;0,00189424;0,47039
12;12;1600;160;3970;0,476058;0,00190854;0,474149
13;12;1600;160;3970;0,476984;0,0019002;0,475084
14;12;1600;160;3970;0,48131;0,00183463;0,479475
15;12;1600;160;3970;0,48144;0,00185537;0,479584
16;12;1600;160;3970;0,518001;0,00196457;0,516037
17;12;1600;160;3970;0,47599;0,00185037;0,474139
18;12;1600;160;3970;0,478085;0,0018847;0,4762
19;12;1600;160;3970;0,461862;0,00187302;0,459989
20;12;1600;160;3970;0,473566;0,00180912;0,471756
