i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;4;1600;40;320;0,097048;0,0012238;0,0958242
2;4;1600;40;320;0,0952611;0,00116944;0,0940917
3;4;1600;40;320;0,0874648;0,00120521;0,0862596
4;4;1600;40;320;0,0892437;0,0011847;0,0880589
5;4;1600;40;320;0,0958757;0,00125241;0,0946233
6;4;1600;40;320;0,0891011;0,00122118;0,0878799
7;4;1600;40;320;0,0872867;0,00119472;0,086092
8;4;1600;40;320;0,084718;0,00118947;0,0835285
9;4;1600;40;320;0,08658;0,00118518;0,0853949
10;4;1600;40;320;0,0862296;0,00122619;0,0850034
11;4;1600;40;320;0,0873079;0,00121808;0,0860898
12;4;1600;40;320;0,0895572;0,00123882;0,0883183
13;4;1600;40;320;0,0863149;0,00120163;0,0851133
14;4;1600;40;320;0,0874827;0,00120568;0,086277
15;4;1600;40;320;0,0839458;0,00118232;0,0827634
16;4;1600;40;320;0,0940969;0,00124598;0,0928509
17;4;1600;40;320;0,088923;0,00120163;0,0877213
18;4;1600;40;320;0,0875323;0,00121474;0,0863175
19;4;1600;40;320;0,117908;0,00134635;0,116561
20;4;1600;40;320;0,106888;0,00127316;0,105614
