i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;8;100;320;2985;0,0234001;0,0001266;0,0232735
2;8;100;320;2985;0,0216925;0,000112772;0,0215797
3;8;100;320;2985;0,0202625;0,000131369;0,0201311
4;8;100;320;2985;0,0196433;0,000108719;0,0195346
5;8;100;320;2985;0,0211046;0,00010705;0,0209975
6;8;100;320;2985;0,0208094;0,000123739;0,0206857
7;8;100;320;2985;0,0206344;0,000122547;0,0205119
8;8;100;320;2985;0,0209332;0,000112295;0,0208209
9;8;100;320;2985;0,0199335;0,000113964;0,0198195
10;8;100;320;2985;0,0211673;0,000120401;0,0210469
11;8;100;320;2985;0,0225458;0,000121355;0,0224245
12;8;100;320;2985;0,0203235;0,000109434;0,0202141
13;8;100;320;2985;0,0203841;0,00011611;0,020268
14;8;100;320;2985;0,0222077;0,000118971;0,0220888
15;8;100;320;2985;0,019752;0,000102043;0,01965
16;8;100;320;2985;0,0206792;0,000112295;0,0205669
17;8;100;320;2985;0,0199063;0,000115633;0,0197906
18;8;100;320;2985;0,0199378;0,00012064;0,0198171
19;8;100;320;2985;0,0205081;0,000118256;0,0203898
20;8;100;320;2985;0,0209591;0,000103951;0,0208552
