i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;8;100;80;590;0,0214524;0,00011158;0,0213408
2;8;100;80;590;0,0210731;0,000102997;0,0209701
3;8;100;80;590;0,0204895;0,00011301;0,0203764
4;8;100;80;590;0,0210137;0,000102758;0,020911
5;8;100;80;590;0,0199151;0,000101089;0,019814
6;8;100;80;590;0,0200291;0,000102997;0,0199261
7;8;100;80;590;0,0206661;0,000110149;0,020556
8;8;100;80;590;0,0203424;0,000111818;0,0202305
9;8;100;80;590;0,0211737;0,000109911;0,0210638
10;8;100;80;590;0,0198879;0,00010252;0,0197854
11;8;100;80;590;0,0201783;0,000115395;0,0200629
12;8;100;80;590;0,0200698;0,000102758;0,0199671
13;8;100;80;590;0,020699;0,000101566;0,0205975
14;8;100;80;590;0,0202208;0,000104189;0,0201166
15;8;100;80;590;0,0200906;0,000108719;0,0199819
16;8;100;80;590;0,019619;0,000112295;0,0195067
17;8;100;80;590;0,0206623;0,000100851;0,0205615
18;8;100;80;590;0,0207131;0,000110865;0,0206022
19;8;100;80;590;0,0202115;0,000110626;0,0201008
20;8;100;80;590;0,0210767;0,000108957;0,0209677
