i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;12;800;320;7845;0,268412;0,000995874;0,267416
2;12;800;320;7845;0,268944;0,00105119;0,267893
3;12;800;320;7845;0,246753;0,000981331;0,245772
4;12;800;320;7845;0,24638;0,000976324;0,245404
5;12;800;320;7845;0,240582;0,000952244;0,23963
6;12;800;320;7845;0,243617;0,000945091;0,242672
7;12;800;320;7845;0,248194;0,00094533;0,247249
8;12;800;320;7845;0,243622;0,000985384;0,242636
9;12;800;320;7845;0,243654;0,000970602;0,242683
10;12;800;320;7845;0,237503;0,000962496;0,236541
11;12;800;320;7845;0,233431;0,000971317;0,23246
12;12;800;320;7845;0,235592;0,000954151;0,234638
13;12;800;320;7845;0,239455;0,000958681;0,238496
14;12;800;320;7845;0,241291;0,000966787;0,240324
15;12;800;320;7845;0,240013;0,000976562;0,239036
16;12;800;320;7845;0,239385;0,000957251;0,238428
17;12;800;320;7845;0,240092;0,000995636;0,239096
18;12;800;320;7845;0,238761;0,000977993;0,237783
19;12;800;320;7845;0,237377;0,000963926;0,236413
20;12;800;320;7845;0,240559;0,000975132;0,239584
