i;n_obj;max_weight;max_value;parallelizable_time;total_time
1;8000;100000;7547740;6,0001;6,00191
2;8000;100000;7547740;5,91774;5,91971
3;8000;100000;7547740;5,92667;5,92861
4;8000;100000;7547740;5,88276;5,88467
5;8000;100000;7547740;5,88135;5,88328
6;8000;100000;7547740;5,8777;5,87978
7;8000;100000;7547740;5,91062;5,91253
8;8000;100000;7547740;5,90882;5,91087
9;8000;100000;7547740;5,90735;5,90918
10;8000;100000;7547740;5,89263;5,89443
11;8000;100000;7547740;5,87763;5,87987
12;8000;100000;7547740;5,885;5,88723
13;8000;100000;7547740;5,892;5,89493
14;8000;100000;7547740;5,86949;5,87169
15;8000;100000;7547740;5,89592;5,89874
16;8000;100000;7547740;5,84636;5,84831
17;8000;100000;7547740;5,88593;5,88834
18;8000;100000;7547740;5,86496;5,86707
19;8000;100000;7547740;5,85114;5,85319
20;8000;100000;7547740;5,84301;5,84511
