i;n_obj;max_weight;max_value;parallelizable_time;total_time
1;4000;100000;4915135;2,99159;2,99253
2;4000;100000;4915135;3,01122;3,01224
3;4000;100000;4915135;2,97542;2,97644
4;4000;100000;4915135;3,06723;3,06838
5;4000;100000;4915135;3,22552;3,22704
6;4000;100000;4915135;3,25195;3,25356
7;4000;100000;4915135;3,14635;3,14742
8;4000;100000;4915135;2,9697;2,97076
9;4000;100000;4915135;3,00611;3,00783
10;4000;100000;4915135;2,95231;2,95324
11;4000;100000;4915135;2,92669;2,92797
12;4000;100000;4915135;2,96546;2,96657
13;4000;100000;4915135;2,99051;2,99146
14;4000;100000;4915135;2,95116;2,95209
15;4000;100000;4915135;2,97979;2,98073
16;4000;100000;4915135;2,97602;2,97769
17;4000;100000;4915135;2,97148;2,97246
18;4000;100000;4915135;2,95041;2,95144
19;4000;100000;4915135;2,98783;2,98879
20;4000;100000;4915135;2,95542;2,95669
