i;n_obj;max_weight;max_value;parallelizable_time;total_time
1;18000;100000;10947655;13,4449;13,4503
2;18000;100000;10947655;13,4016;13,4066
3;18000;100000;10947655;13,2726;13,2763
4;18000;100000;10947655;13,2549;13,2588
5;18000;100000;10947655;13,163;13,1671
6;18000;100000;10947655;13,5557;13,5597
7;18000;100000;10947655;13,3334;13,3373
8;18000;100000;10947655;13,2799;13,2837
9;18000;100000;10947655;13,2701;13,274
10;18000;100000;10947655;13,3247;13,3283
11;18000;100000;10947655;13,3697;13,374
12;18000;100000;10947655;13,2046;13,2084
13;18000;100000;10947655;13,3015;13,3054
14;18000;100000;10947655;13,2329;13,2368
15;18000;100000;10947655;13,1798;13,1836
16;18000;100000;10947655;13,3326;13,3364
17;18000;100000;10947655;13,2589;13,2626
18;18000;100000;10947655;13,2276;13,2313
19;18000;100000;10947655;13,2095;13,2134
20;18000;100000;10947655;13,2202;13,2245
