i;n_obj;max_weight;max_value;parallelizable_time;total_time
1;20000;100000;11421190;14,8215;14,8266
2;20000;100000;11421190;14,8309;14,835
3;20000;100000;11421190;14,6939;14,6982
4;20000;100000;11421190;14,7488;14,7535
5;20000;100000;11421190;15,2626;15,2672
6;20000;100000;11421190;14,7914;14,7963
7;20000;100000;11421190;14,7836;14,7883
8;20000;100000;11421190;14,7814;14,7859
9;20000;100000;11421190;14,7684;14,7726
10;20000;100000;11421190;14,8094;14,8135
11;20000;100000;11421190;14,724;14,7281
12;20000;100000;11421190;14,8988;14,9043
13;20000;100000;11421190;14,8133;14,8172
14;20000;100000;11421190;14,719;14,7231
15;20000;100000;11421190;14,693;14,6984
16;20000;100000;11421190;14,8075;14,8133
17;20000;100000;11421190;15,1276;15,1327
18;20000;100000;11421190;14,7386;14,7429
19;20000;100000;11421190;14,6882;14,6923
20;20000;100000;11421190;14,7631;14,7672
