i;n_obj;max_weight;max_value;parallelizable_time;total_time
1;16000;100000;10683215;11,8902;11,8948
2;16000;100000;10683215;11,7575;11,7618
3;16000;100000;10683215;11,9556;11,9595
4;16000;100000;10683215;11,6961;11,6995
5;16000;100000;10683215;11,7043;11,7091
6;16000;100000;10683215;11,7084;11,7117
7;16000;100000;10683215;11,7461;11,7501
8;16000;100000;10683215;11,7055;11,709
9;16000;100000;10683215;11,7017;11,7048
10;16000;100000;10683215;11,7048;11,7086
11;16000;100000;10683215;11,7298;11,7334
12;16000;100000;10683215;11,751;11,7544
13;16000;100000;10683215;11,7185;11,7219
14;16000;100000;10683215;12,6546;12,6583
15;16000;100000;10683215;12,6372;12,6405
16;16000;100000;10683215;12,0723;12,0772
17;16000;100000;10683215;11,822;11,8253
18;16000;100000;10683215;11,7515;11,7552
19;16000;100000;10683215;11,9136;11,9171
20;16000;100000;10683215;11,7862;11,7895
