i;n_obj;max_weight;max_value;parallelizable_time;total_time
1;12000;100000;9080460;8,88273;8,8853
2;12000;100000;9080460;8,80707;8,80999
3;12000;100000;9080460;8,75238;8,75518
4;12000;100000;9080460;8,78036;8,78338
5;12000;100000;9080460;8,80237;8,80519
6;12000;100000;9080460;8,78221;8,78494
7;12000;100000;9080460;8,74905;8,75161
8;12000;100000;9080460;8,74432;8,74736
9;12000;100000;9080460;8,80709;8,80988
10;12000;100000;9080460;8,77599;8,77873
11;12000;100000;9080460;8,93763;8,94041
12;12000;100000;9080460;8,80085;8,80383
13;12000;100000;9080460;8,78542;8,78842
14;12000;100000;9080460;9,24736;9,24984
15;12000;100000;9080460;8,85;8,85261
16;12000;100000;9080460;8,87938;8,8832
17;12000;100000;9080460;8,85461;8,85723
18;12000;100000;9080460;8,86311;8,86564
19;12000;100000;9080460;8,94405;8,94727
20;12000;100000;9080460;8,81711;8,81994
