i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;8;40000;100000;16502125;3,22863;0,843545;2,38508
2;8;40000;100000;16502125;3,1645;0,843548;2,32095
3;8;40000;100000;16502125;3,10482;0,835171;2,26965
4;8;40000;100000;16502125;3,16354;0,837945;2,32559
5;8;40000;100000;16502125;3,11675;0,838326;2,27842
6;8;40000;100000;16502125;3,12965;0,844581;2,28507
7;8;40000;100000;16502125;3,07122;0,835873;2,23534
8;8;40000;100000;16502125;3,07579;0,833483;2,24231
9;8;40000;100000;16502125;3,05548;0,83241;2,22307
10;8;40000;100000;16502125;3,20393;0,852931;2,35099
11;8;40000;100000;16502125;3,1226;0,838568;2,28403
12;8;40000;100000;16502125;3,06131;0,830492;2,23081
13;8;40000;100000;16502125;3,26244;0,845004;2,41743
14;8;40000;100000;16502125;3,10315;0,837666;2,26548
15;8;40000;100000;16502125;3,31026;0,846194;2,46406
16;8;40000;100000;16502125;3,08439;0,832327;2,25206
17;8;40000;100000;16502125;3,05419;0,836371;2,21782
18;8;40000;100000;16502125;3,09633;0,840803;2,25553
19;8;40000;100000;16502125;3,16655;0,833241;2,33331
20;8;40000;100000;16502125;3,1724;0,837188;2,33521
