i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;2;20000;100000;11421190;1,06629;0,350738;0,715549
2;2;20000;100000;11421190;1,02842;0,334081;0,69434
3;2;20000;100000;11421190;1,03505;0,344076;0,690974
4;2;20000;100000;11421190;1,0255;0,336298;0,689201
5;2;20000;100000;11421190;1,02804;0,337931;0,69011
6;2;20000;100000;11421190;1,04011;0,339709;0,700398
7;2;20000;100000;11421190;1,02203;0,333429;0,688601
8;2;20000;100000;11421190;1,05241;0,348637;0,703769
9;2;20000;100000;11421190;1,10356;0,361709;0,741849
10;2;20000;100000;11421190;1,07477;0,347714;0,727054
11;2;20000;100000;11421190;1,03047;0,338098;0,692373
12;2;20000;100000;11421190;1,02176;0,3382;0,683559
13;2;20000;100000;11421190;1,01306;0,335618;0,67744
14;2;20000;100000;11421190;1,01613;0,329734;0,686399
15;2;20000;100000;11421190;1,04928;0,344389;0,704894
16;2;20000;100000;11421190;1,0636;0,343217;0,720381
17;2;20000;100000;11421190;1,08428;0,359219;0,725063
18;2;20000;100000;11421190;1,07259;0,348215;0,724374
19;2;20000;100000;11421190;1,02084;0,331361;0,689478
20;2;20000;100000;11421190;1,02593;0,338148;0,687786
