i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;8;80000;50000;11731110;4,27699;0,888315;3,38867
2;8;80000;50000;11731110;4,0914;0,879894;3,2115
3;8;80000;50000;11731110;4,26278;0,880435;3,38234
4;8;80000;50000;11731110;4,27752;0,885069;3,39245
5;8;80000;50000;11731110;4,1635;0,880843;3,28266
6;8;80000;50000;11731110;4,09611;0,877227;3,21888
7;8;80000;50000;11731110;4,07502;0,881047;3,19397
8;8;80000;50000;11731110;4,20493;0,883147;3,32178
9;8;80000;50000;11731110;4,16278;0,880368;3,28241
10;8;80000;50000;11731110;4,13621;0,881354;3,25485
11;8;80000;50000;11731110;4,60329;0,889829;3,71346
12;8;80000;50000;11731110;4,21788;0,888743;3,32914
13;8;80000;50000;11731110;4,34314;0,890311;3,45283
14;8;80000;50000;11731110;4,21877;0,88115;3,33762
15;8;80000;50000;11731110;4,24343;0,885712;3,35772
16;8;80000;50000;11731110;4,21267;0,884548;3,32812
17;8;80000;50000;11731110;4,11003;0,879176;3,23085
18;8;80000;50000;11731110;4,18433;0,88407;3,30026
19;8;80000;50000;11731110;4,22593;0,883987;3,34195
20;8;80000;50000;11731110;4,15499;0,876358;3,27863
