i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;12;80000;100000;23181195;20,3845;1,67356;18,711
2;12;80000;100000;23181195;20,9168;1,71791;19,1989
3;12;80000;100000;23181195;22,2284;1,70804;20,5204
4;12;80000;100000;23181195;19,3402;1,70793;17,6322
5;12;80000;100000;23181195;19,0209;1,7047;17,3162
6;12;80000;100000;23181195;19,4798;1,70413;17,7757
7;12;80000;100000;23181195;18,9574;1,74414;17,2133
8;12;80000;100000;23181195;19,7455;1,66484;18,0806
9;12;80000;100000;23181195;19,0897;1,70643;17,3833
10;12;80000;100000;23181195;19,8088;1,73404;18,0748
11;12;80000;100000;23181195;19,3819;1,68077;17,7012
12;12;80000;100000;23181195;19,7086;1,72107;17,9876
13;12;80000;100000;23181195;19,3578;1,70607;17,6517
14;12;80000;100000;23181195;19,7732;1,70211;18,0711
15;12;80000;100000;23181195;19,0598;1,69386;17,3659
16;12;80000;100000;23181195;19,3618;1,68056;17,6812
17;12;80000;100000;23181195;19,9629;1,69785;18,265
18;12;80000;100000;23181195;19,9477;1,716;18,2317
19;12;80000;100000;23181195;19,2946;1,71339;17,5812
20;12;80000;100000;23181195;19,4851;1,71339;17,7717
