i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;2;80000;100000;23181195;4,32564;1,41346;2,91218
2;2;80000;100000;23181195;4,21189;1,37996;2,83193
3;2;80000;100000;23181195;4,20033;1,37642;2,82391
4;2;80000;100000;23181195;4,23607;1,38849;2,84758
5;2;80000;100000;23181195;4,18137;1,38608;2,79529
6;2;80000;100000;23181195;4,22172;1,38234;2,83939
7;2;80000;100000;23181195;4,16726;1,36374;2,80352
8;2;80000;100000;23181195;4,2299;1,38439;2,8455
9;2;80000;100000;23181195;4,18678;1,38289;2,8039
10;2;80000;100000;23181195;4,26289;1,39468;2,86821
11;2;80000;100000;23181195;4,14016;1,35108;2,78908
12;2;80000;100000;23181195;4,24945;1,39631;2,85314
13;2;80000;100000;23181195;4,11391;1,34046;2,77345
14;2;80000;100000;23181195;4,24027;1,39231;2,84796
15;2;80000;100000;23181195;4,19931;1,38275;2,81656
16;2;80000;100000;23181195;4,17224;1,37333;2,79891
17;2;80000;100000;23181195;4,14281;1,36206;2,78075
18;2;80000;100000;23181195;4,17878;1,36435;2,81442
19;2;80000;100000;23181195;4,19376;1,38548;2,80827
20;2;80000;100000;23181195;4,07203;1,34127;2,73076
