i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;8;40000;50000;8189655;2,09695;0,439546;1,6574
2;8;40000;50000;8189655;2,08809;0,432966;1,65512
3;8;40000;50000;8189655;2,0165;0,430012;1,58649
4;8;40000;50000;8189655;2,0569;0,440078;1,61682
5;8;40000;50000;8189655;2,07198;0,439467;1,63251
6;8;40000;50000;8189655;2,09592;0,437922;1,658
7;8;40000;50000;8189655;2,09481;0,4366;1,65821
8;8;40000;50000;8189655;2,1058;0,441016;1,66478
9;8;40000;50000;8189655;2,10402;0,448962;1,65505
10;8;40000;50000;8189655;2,05627;0,432413;1,62386
11;8;40000;50000;8189655;2,05073;0,438505;1,61222
12;8;40000;50000;8189655;2,02865;0,437792;1,59086
13;8;40000;50000;8189655;2,08869;0,439235;1,64945
14;8;40000;50000;8189655;2,02911;0,439967;1,58914
15;8;40000;50000;8189655;2,02606;0,436189;1,58987
16;8;40000;50000;8189655;2,17848;0,448291;1,73019
17;8;40000;50000;8189655;2,03256;0,439263;1,59329
18;8;40000;50000;8189655;2,04895;0,43971;1,60924
19;8;40000;50000;8189655;2,07897;0,439434;1,63954
20;8;40000;50000;8189655;2,05266;0,436683;1,61598
