i;N_THREADS;n_obj;max_weight;max_value;time;seq_time;par_time
1;2;40000;800000;131629890;15,2844;5,24977;10,0346
2;2;40000;800000;131629890;15,1788;5,19907;9,9797
3;2;40000;800000;131629890;15,269;5,20556;10,0635
4;2;40000;800000;131629890;15,0559;5,16711;9,8888
5;2;40000;800000;131629890;15,2235;5,23034;9,99319
6;2;40000;800000;131629890;15,1926;5,16967;10,0229
7;2;40000;800000;131629890;15,2101;5,20506;10,0051
8;2;40000;800000;131629890;15,1201;5,1695;9,95063
9;2;40000;800000;131629890;15,2618;5,22107;10,0408
10;2;40000;800000;131629890;15,1974;5,16999;10,0274
11;2;40000;800000;131629890;15,2385;5,19745;10,041
12;2;40000;800000;131629890;15,2005;5,20004;10,0004
13;2;40000;800000;131629890;15,1912;5,1896;10,0016
14;2;40000;800000;131629890;15,3359;5,2522;10,0837
15;2;40000;800000;131629890;15,5205;5,34129;10,1792
16;2;40000;800000;131629890;15,7071;5,44316;10,2639
17;2;40000;800000;131629890;15,7443;5,44983;10,2945
18;2;40000;800000;131629890;15,2973;5,27101;10,0263
19;2;40000;800000;131629890;15,1087;5,16167;9,94705
20;2;40000;800000;131629890;15,2761;5,24223;10,0339
