i;n_obj;max_weight;max_value;seq_time
1;400;80;955;9,05991e-06
2;400;80;955;3,60012e-05
3;400;80;955;8,82149e-06
4;400;80;955;9,05991e-06
5;400;80;955;1,00136e-05
6;400;80;955;9,05991e-06
7;400;80;955;1,00136e-05
8;400;80;955;9,05991e-06
9;400;80;955;9,05991e-06
10;400;80;955;1,00136e-05
11;400;80;955;1,00136e-05
12;400;80;955;8,82149e-06
13;400;80;955;8,82149e-06
14;400;80;955;9,05991e-06
15;400;80;955;9,05991e-06
16;400;80;955;9,05991e-06
17;400;80;955;8,82149e-06
18;400;80;955;8,82149e-06
19;400;80;955;9,05991e-06
20;400;80;955;9,05991e-06
