i;n_obj;max_weight;max_value;seq_time
1;800;160;3545;2,90871e-05
2;800;160;3545;2,88486e-05
3;800;160;3545;5,6982e-05
4;800;160;3545;2,88486e-05
5;800;160;3545;3,09944e-05
6;800;160;3545;2,90871e-05
7;800;160;3545;2,90871e-05
8;800;160;3545;2,90871e-05
9;800;160;3545;2,88486e-05
10;800;160;3545;2,90871e-05
11;800;160;3545;3,00407e-05
12;800;160;3545;2,7895e-05
13;800;160;3545;2,7895e-05
14;800;160;3545;5,10216e-05
15;800;160;3545;3,09944e-05
16;800;160;3545;2,7895e-05
17;800;160;3545;5,50747e-05
18;800;160;3545;2,88486e-05
19;800;160;3545;2,7895e-05
20;800;160;3545;2,81334e-05
