i;n_obj;max_weight;max_value;seq_time
1;1600;320;9540;7,29561e-05
2;1600;320;9540;7,31945e-05
3;1600;320;9540;7,31945e-05
4;1600;320;9540;0,000195026
5;1600;320;9540;7,41482e-05
6;1600;320;9540;7,48634e-05
7;1600;320;9540;7,51019e-05
8;1600;320;9540;7,70092e-05
9;1600;320;9540;7,48634e-05
10;1600;320;9540;7,60555e-05
11;1600;320;9540;7,79629e-05
12;1600;320;9540;7,48634e-05
13;1600;320;9540;7,60555e-05
14;1600;320;9540;7,29561e-05
15;1600;320;9540;7,39098e-05
16;1600;320;9540;7,29561e-05
17;1600;320;9540;7,29561e-05
18;1600;320;9540;7,31945e-05
19;1600;320;9540;7,39098e-05
20;1600;320;9540;7,39098e-05
