i;n_obj;max_weight;max_value;seq_time
1;100;320;2985;5,96046e-06
2;100;320;2985;5,96046e-06
3;100;320;2985;5,00679e-06
4;100;320;2985;6,19888e-06
5;100;320;2985;5,96046e-06
6;100;320;2985;5,96046e-06
7;100;320;2985;5,96046e-06
8;100;320;2985;5,96046e-06
9;100;320;2985;5,96046e-06
10;100;320;2985;5,96046e-06
11;100;320;2985;5,96046e-06
12;100;320;2985;1,00136e-05
13;100;320;2985;5,96046e-06
14;100;320;2985;5,96046e-06
15;100;320;2985;5,96046e-06
16;100;320;2985;6,19888e-06
17;100;320;2985;6,19888e-06
18;100;320;2985;5,96046e-06
19;100;320;2985;5,96046e-06
20;100;320;2985;4,76837e-06
