i;n_obj;max_weight;max_value;seq_time
1;100;40;270;2,14577e-06
2;100;40;270;2,86102e-06
3;100;40;270;1,90735e-06
4;100;40;270;2,86102e-06
5;100;40;270;1,90735e-06
6;100;40;270;3,09944e-06
7;100;40;270;3,09944e-06
8;100;40;270;1,90735e-06
9;100;40;270;2,86102e-06
10;100;40;270;2,14577e-06
11;100;40;270;3,09944e-06
12;100;40;270;2,14577e-06
13;100;40;270;2,86102e-06
14;100;40;270;1,90735e-06
15;100;40;270;2,86102e-06
16;100;40;270;2,14577e-06
17;100;40;270;3,8147e-06
18;100;40;270;3,09944e-06
19;100;40;270;2,86102e-06
20;100;40;270;3,09944e-06
