i;n_obj;max_weight;max_value;seq_time
1;800;320;7845;4,41074e-05
2;800;320;7845;4,41074e-05
3;800;320;7845;4,81606e-05
4;800;320;7845;4,60148e-05
5;800;320;7845;4,29153e-05
6;800;320;7845;4,41074e-05
7;800;320;7845;4,29153e-05
8;800;320;7845;4,31538e-05
9;800;320;7845;4,29153e-05
10;800;320;7845;4,31538e-05
11;800;320;7845;4,3869e-05
12;800;320;7845;4,31538e-05
13;800;320;7845;4,29153e-05
14;800;320;7845;4,29153e-05
15;800;320;7845;4,41074e-05
16;800;320;7845;4,19617e-05
17;800;320;7845;4,19617e-05
18;800;320;7845;4,19617e-05
19;800;320;7845;4,19617e-05
20;800;320;7845;4,50611e-05
