i;n_obj;max_weight;max_value;seq_time
1;400;640;10490;3,31402e-05
2;400;640;10490;5,10216e-05
3;400;640;10490;3,60012e-05
4;400;640;10490;3,29018e-05
5;400;640;10490;3,38554e-05
6;400;640;10490;3,38554e-05
7;400;640;10490;3,38554e-05
8;400;640;10490;3,38554e-05
9;400;640;10490;3,40939e-05
10;400;640;10490;3,40939e-05
11;400;640;10490;3,40939e-05
12;400;640;10490;3,40939e-05
13;400;640;10490;3,29018e-05
14;400;640;10490;3,31402e-05
15;400;640;10490;3,29018e-05
16;400;640;10490;3,29018e-05
17;400;640;10490;3,29018e-05
18;400;640;10490;3,29018e-05
19;400;640;10490;3,31402e-05
20;400;640;10490;3,29018e-05
