i;n_obj;max_weight;max_value;seq_time
1;100;80;590;3,09944e-06
2;100;80;590;4,05312e-06
3;100;80;590;3,09944e-06
4;100;80;590;4,05312e-06
5;100;80;590;3,09944e-06
6;100;80;590;3,09944e-06
7;100;80;590;3,09944e-06
8;100;80;590;3,09944e-06
9;100;80;590;2,86102e-06
10;100;80;590;2,86102e-06
11;100;80;590;3,8147e-06
12;100;80;590;2,86102e-06
13;100;80;590;3,09944e-06
14;100;80;590;3,09944e-06
15;100;80;590;3,09944e-06
16;100;80;590;4,05312e-06
17;100;80;590;3,09944e-06
18;100;80;590;2,86102e-06
19;100;80;590;2,86102e-06
20;100;80;590;2,86102e-06
