i;n_obj;max_weight;max_value;seq_time
1;1600;640;17750;0,000138044
2;1600;640;17750;0,000154018
3;1600;640;17750;0,000244141
4;1600;640;17750;0,00014019
5;1600;640;17750;0,000194073
6;1600;640;17750;0,000133038
7;1600;640;17750;0,000154972
8;1600;640;17750;0,000237942
9;1600;640;17750;0,000137091
10;1600;640;17750;0,000139952
11;1600;640;17750;0,00014019
12;1600;640;17750;0,000143051
13;1600;640;17750;0,00028491
14;1600;640;17750;0,000136852
15;1600;640;17750;0,000135899
16;1600;640;17750;0,000135899
17;1600;640;17750;0,000137091
18;1600;640;17750;0,000138998
19;1600;640;17750;0,000136137
20;1600;640;17750;0,000144005
