i;n_obj;max_weight;max_value;seq_time
1;800;640;14400;0,000123978
2;800;640;14400;7,20024e-05
3;800;640;14400;0,000108957
4;800;640;14400;7,39098e-05
5;800;640;14400;6,98566e-05
6;800;640;14400;7,29561e-05
7;800;640;14400;7,10487e-05
8;800;640;14400;7,00951e-05
9;800;640;14400;0,00051713
10;800;640;14400;7,00951e-05
11;800;640;14400;6,79493e-05
12;800;640;14400;6,79493e-05
13;800;640;14400;6,79493e-05
14;800;640;14400;7,10487e-05
15;800;640;14400;6,8903e-05
16;800;640;14400;7,20024e-05
17;800;640;14400;7,10487e-05
18;800;640;14400;7,31945e-05
19;800;640;14400;7,10487e-05
20;800;640;14400;6,79493e-05
